sample	rf	triplet
1	0.7047353760445683	0.41065171518682286
2	0.7493702770780857	0.4558873355274307
3	0.7515123313168915	0.30278128643272795
4	0.7879656160458453	0.3218939035677333
5	0.7233940556088208	0.7174606604681595
6	0.7707612456747405	0.6266545853646086
7	0.7630260521042084	0.5741193311193311
8	0.7269218398198778	0.5622222494076632
9	0.7611544461778471	0.26455078070384636
10	0.7245060548119822	0.3760274585991854
11	0.7090336134453782	0.6454579825893131
12	0.7462121212121212	0.3249339091086879
13	0.7068041237113402	0.4454130876422857
14	0.7495274102079396	0.3929174350971769
15	0.7461036607466474	0.37587398386522203
16	0.7061933534743202	0.2918891619852371
17	0.734192037470726	0.4384776193416601
18	0.7108938547486033	0.36860882231305386
19	0.7117216117216117	0.4549532911161997
20	0.7194163860830527	0.25299956581539906
21	0.7632412856496152	0.5140511226362684
22	0.740071283095723	0.4815949187389256
23	0.7408491947291361	0.25400026208826104
24	0.6884498480243161	0.5563227802477976
25	0.6426282051282052	0.4411029182016907
26	0.7492610837438424	0.34712676183789004
27	0.759581881533101	0.515178140360896
28	0.7388146426496223	0.3391785079684561
29	0.7557280118255728	0.5532265719122597
30	0.741917502787068	0.5542771230592765
31	0.7170418006430869	0.518156464065944
32	0.6998644986449865	0.28460189900715627
33	0.7483159828536436	0.37633604883023836
34	0.7689581856839122	0.4551521238470693
35	0.7413249211356467	0.3153092932294247
36	0.7557420494699647	0.2440539496525126
37	0.7582513028372901	0.45719108067801784
38	0.7166985340981517	0.5388853408788906
39	0.768051434223541	0.23271433233853211
40	0.7173699705593719	0.34101439558377894
41	0.7382374906646751	0.45478217216660277
42	0.7402027027027027	0.3078384380168149
43	0.7024048096192385	0.4880731684042274
44	0.7554082344731333	0.44983004249326297
45	0.74831867563373	0.24611783314097088
46	0.7286497780099243	0.2915125996656855
47	0.7245970567624387	0.5507654819967008
48	0.7208112874779542	0.5821357002599502
49	0.7335907335907336	0.26097465700947986
50	0.73558648111332	0.5414473736935042
51	0.7674976030680729	0.46134758224082917
52	0.7662371134020619	0.5469547479447405
53	0.7474587039390089	0.4440160726873756
54	0.7342857142857143	0.5345797487334013
55	0.7638613861386139	0.4641554366893547
56	0.727027027027027	0.25950593409175515
57	0.7388392857142857	0.4124393933833815
58	0.7332521315468941	0.34702868542788634
59	0.7716917111003393	0.656774912800714
60	0.74745269286754	0.3468219353380656
61	0.7589285714285714	0.5852138576229505
62	0.741106719367589	0.455181321826092
63	0.7458823529411764	0.2438905970392258
64	0.7367947178871549	0.2509456163174648
65	0.7519125683060109	0.46293319794226423
66	0.7423728813559322	0.3184157693385881
67	0.7553131991051454	0.6969947400878282
68	0.7148387096774194	0.3550140250839904
69	0.7587532023911187	0.23000292192473462
70	0.7785714285714286	0.38038756260730355
71	0.7681603773584905	0.2855374892269017
72	0.7170487106017192	0.3061795752935939
73	0.7515545505935557	0.2749334172301114
74	0.7307692307692307	0.25473320284779083
75	0.7452062754212667	0.5161662576383981
76	0.7229257641921397	0.2884593626088887
77	0.7329873125720877	0.559252782741962
78	0.7664194915254238	0.5102944821864707
79	0.7335667055620381	0.3262096392195175
80	0.7565184049079755	0.4857356808156098
81	0.7081881533101045	0.26746415358512476
82	0.7437037037037038	0.36886913623952966
83	0.7416342412451362	0.3503326369688193
84	0.7270887007729113	0.49623955431006583
85	0.7587752053771472	0.34606736444504094
86	0.7312169312169312	0.590675806646192
87	0.7206293706293706	0.5331284588871789
88	0.770081490104773	0.5914119667131105
89	0.7484848484848485	0.36509561977689364
90	0.7372448979591837	0.5661107363977691
91	0.7623655913978494	0.46755213183132993
92	0.751101321585903	0.41796355727803297
93	0.7129306040938592	0.3687931613346083
94	0.732902033271719	0.3379702979472977
95	0.7142857142857143	0.5224605847162427
96	0.7516879219804952	0.5090241736596547
97	0.7104430379746836	0.3350219532319699
98	0.7398576512455516	0.30675841801136383
99	0.7219837863614688	0.3780905974109965
100	0.7433574879227053	0.3637649077177377
